# Profile: cbpp__auto

## Top 25 by cumulative time

         1747080 function calls (1743930 primitive calls) in 1.362 seconds

   Ordered by: cumulative time
   List reduced from 1162 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.362    1.362 /Users/paishe01/repos/gpg/interlace/docs/perf/profile_fits.py:54(_fit_cbpp)
        1    0.000    0.000    1.362    1.362 /Users/paishe01/repos/gpg/interlace/src/interlace/glmm_laplace.py:1316(fit_glmm)
        2    0.000    0.000    1.341    0.670 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/optimize/_minimize.py:54(minimize)
        1    0.008    0.008    1.246    1.246 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/optimize/_optimize.py:700(_minimize_neldermead)
      404    0.005    0.000    1.232    0.003 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/optimize/_optimize.py:555(function_wrapper)
      405    0.047    0.000    1.231    0.003 /Users/paishe01/repos/gpg/interlace/src/interlace/glmm_laplace.py:1059(_laplace_objective_profiled)
16263/13413    0.066    0.000    0.781    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:30(__init__)
     6031    0.006    0.000    0.434    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_base.py:919(__matmul__)
     6031    0.010    0.000    0.404    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_base.py:788(_matmul_dispatch)
    22037    0.089    0.000    0.368    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_base.py:1525(_get_index_dtype)
     1453    0.014    0.000    0.347    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:415(_matmul_sparse)
     2908    0.003    0.000    0.287    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_base.py:451(asformat)
     2850    0.049    0.000    0.279    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_csc.py:44(tocsr)
     1450    0.002    0.000    0.275    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_base.py:740(__add__)
     1450    0.002    0.000    0.267    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:257(_add_sparse)
     1450    0.013    0.000    0.264    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:1189(_binopt)
    22470    0.203    0.000    0.261    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_sputils.py:264(get_index_dtype)
    16263    0.052    0.000    0.196    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:166(check_format)
    17713    0.064    0.000    0.136    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:1118(prune)
     2575    0.001    0.000    0.116    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_base.py:390(T)
     2575    0.005    0.000    0.115    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_csc.py:20(transpose)
     1451    0.012    0.000    0.096    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_csr.py:73(tocsc)
        1    0.000    0.000    0.095    0.095 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/optimize/_lbfgsb_py.py:294(_minimize_lbfgsb)
       19    0.000    0.000    0.091    0.005 /Users/paishe01/repos/gpg/interlace/src/interlace/glmm_laplace.py:1545(obj)
       19    0.000    0.000    0.091    0.005 /Users/paishe01/repos/gpg/interlace/src/interlace/glmm_laplace.py:1020(_laplace_objective)




## Top 25 by self (tottime)

         1747080 function calls (1743930 primitive calls) in 1.362 seconds

   Ordered by: internal time
   List reduced from 1162 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22470    0.203    0.000    0.261    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_sputils.py:264(get_index_dtype)
    22037    0.089    0.000    0.368    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_base.py:1525(_get_index_dtype)
16263/13413    0.066    0.000    0.781    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:30(__init__)
    17713    0.064    0.000    0.136    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:1118(prune)
    16263    0.052    0.000    0.196    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:166(check_format)
     2850    0.049    0.000    0.279    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_csc.py:44(tocsr)
      405    0.047    0.000    1.231    0.003 /Users/paishe01/repos/gpg/interlace/src/interlace/glmm_laplace.py:1059(_laplace_objective_profiled)
     1225    0.041    0.000    0.041    0.000 {built-in method scipy.sparse.linalg._dsolve._superlu.gssv}
    13369    0.040    0.000    0.062    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_sputils.py:444(check_shape)
    88304    0.033    0.000    0.033    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:118(_getnnz)
    45364    0.031    0.000    0.031    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/numpy/_core/getlimits.py:412(__init__)
124985/124958    0.030    0.000    0.055    0.000 {built-in method builtins.isinstance}
274295/274153    0.030    0.000    0.030    0.000 {built-in method builtins.len}
    88319    0.027    0.000    0.059    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_base.py:365(nnz)
72740/72733    0.018    0.000    0.019    0.000 {built-in method numpy.asarray}
    47505    0.015    0.000    0.020    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_base.py:98(_shape_as_2d)
     1453    0.014    0.000    0.347    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:415(_matmul_sparse)
    32067    0.014    0.000    0.024    0.000 <frozen abc>:117(__instancecheck__)
     4478    0.014    0.000    0.038    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:387(_matmul_vector)
     1450    0.013    0.000    0.264    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_compressed.py:1189(_binopt)
      424    0.013    0.000    0.013    0.000 {built-in method scipy.sparse.linalg._dsolve._superlu.gstrf}
    28930    0.013    0.000    0.021    0.000 <frozen importlib._bootstrap>:648(parent)
     1225    0.013    0.000    0.072    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/linalg/_dsolve/linsolve.py:134(spsolve)
     1451    0.012    0.000    0.096    0.000 /Users/paishe01/repos/gpg/interlace/.venv/lib/python3.14/site-packages/scipy/sparse/_csr.py:73(tocsc)
     3453    0.011    0.000    0.011    0.000 {built-in method scipy.sparse._sparsetools.csc_matvec}


