subject,gender,scenario,attitude,frequency
F1,F,1,inf,218.2
F1,F,1,pol,199.2
F1,F,2,inf,222.3
F1,F,2,pol,205.4
F1,F,3,inf,224.8
F1,F,3,pol,199.0
F1,F,4,inf,245.5
F1,F,4,pol,235.6
F1,F,5,inf,270.3
F1,F,5,pol,247.4
F1,F,6,inf,292.6
F1,F,6,pol,273.0
F1,F,7,inf,206.0
F1,F,7,pol,193.1
F2,F,1,inf,324.5
F2,F,1,pol,299.4
F2,F,2,inf,243.6
F2,F,2,pol,218.7
F2,F,3,inf,241.9
F2,F,3,pol,221.5
F2,F,4,inf,275.8
F2,F,4,pol,255.9
F2,F,5,inf,326.1
F2,F,5,pol,307.7
F2,F,6,inf,271.8
F2,F,6,pol,247.2
F2,F,7,inf,214.4
F2,F,7,pol,199.8
F3,F,1,inf,223.2
F3,F,1,pol,213.7
F3,F,2,inf,251.5
F3,F,2,pol,231.0
F3,F,3,inf,154.0
F3,F,3,pol,144.7
F3,F,4,inf,273.9
F3,F,4,pol,260.9
F3,F,5,inf,298.9
F3,F,5,pol,276.8
F3,F,6,inf,268.3
F3,F,6,pol,248.8
F3,F,7,inf,160.0
F3,F,7,pol,146.2
M3,M,1,inf,172.5
M3,M,1,pol,153.9
M3,M,2,inf,191.6
M3,M,2,pol,169.4
M3,M,3,inf,149.5
M3,M,3,pol,130.1
M3,M,4,inf,167.2
M3,M,4,pol,143.7
M3,M,5,inf,197.1
M3,M,5,pol,175.7
M3,M,6,inf,145.3
M3,M,6,pol,127.7
M3,M,7,inf,185.5
M3,M,7,pol,164.0
M4,M,1,inf,128.3
M4,M,1,pol,98.7
M4,M,2,inf,121.7
M4,M,2,pol,105.0
M4,M,3,inf,95.8
M4,M,3,pol,79.5
M4,M,4,inf,150.8
M4,M,4,pol,133.6
M4,M,5,inf,150.1
M4,M,5,pol,134.6
M4,M,6,inf,129.2
M4,M,6,pol,109.4
M4,M,7,inf,114.6
M4,M,7,pol,92.6
M7,M,1,inf,97.4
M7,M,1,pol,72.2
M7,M,2,inf,98.7
M7,M,2,pol,84.1
M7,M,3,inf,65.5
M7,M,3,pol,
M7,M,4,inf,120.7
M7,M,4,pol,97.5
M7,M,5,inf,143.2
M7,M,5,pol,122.8
M7,M,6,inf,130.0
M7,M,6,pol,121.0
M7,M,7,inf,94.5
M7,M,7,pol,77.8
